annotation_id,view_name,view_type,category,annotation_type,value,x,y,extra,target_element_ids
175,Elevation B,Elevation,Dimensions,Linear Dimension Style,440.00,0.0,0.0,Linear Dimension Style,12005459|12005460
176,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11942221|11942221|11823152
177,Elevation A,Elevation,Dimensions,Linear Dimension Style,929.83,0.0,0.0,Linear Dimension Style,11985509|11985510
178,Elevation A,Elevation,Dimensions,Linear Dimension Style,463.94,0.0,0.0,Linear Dimension Style,11985509|11985509
179,Elevation C,Elevation,Dimensions,Linear Dimension Style,820.00,0.0,0.0,Linear Dimension Style,12014151|12014152
180,Elevation C,Elevation,Dimensions,Linear Dimension Style,380.00,0.0,0.0,Linear Dimension Style,12014151|12014151
181,Elevation D,Elevation,Dimensions,Linear Dimension Style,840.00,0.0,0.0,Linear Dimension Style,12014180|12014181
182,Elevation D,Elevation,Dimensions,Linear Dimension Style,320.00,0.0,0.0,Linear Dimension Style,12014180|12014180
183,Elevation C,Elevation,Dimensions,Linear Dimension Style,798.37,0.0,0.0,Linear Dimension Style,11983181|11983182
184,Elevation C,Elevation,Dimensions,Linear Dimension Style,422.18,0.0,0.0,Linear Dimension Style,11983181|11983181
185,Elevation D,Elevation,Dimensions,Linear Dimension Style,776.78,0.0,0.0,Linear Dimension Style,11983218|11983219
186,Elevation D,Elevation,Dimensions,Linear Dimension Style,344.18,0.0,0.0,Linear Dimension Style,11983218|11983218
187,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|11979818|9223408
188,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11823183|11888978
189,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11889051|11823183
190,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11889051|11942431
191,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11888978|10249694
192,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11889051|10249694
193,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11888978|11890959
194,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11889051|11948008
195,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,10249694|11847240|2446354
196,Elevation D,Elevation,Dimensions,Linear Dimension Style,340.00,0.0,0.0,Linear Dimension Style,12015346|12015347
197,Elevation D,Elevation,Dimensions,Linear Dimension Style,1698.48,0.0,0.0,Linear Dimension Style,12015345|12015351
198,Elevation D,Elevation,Dimensions,Linear Dimension Style,300.00,0.0,0.0,Linear Dimension Style,12015351|12015351
199,Elevation D,Elevation,Dimensions,Linear Dimension Style,1.01,0.0,0.0,Linear Dimension Style,12015347|12015353
200,Elevation D,Elevation,Dimensions,Linear Dimension Style,480.00,0.0,0.0,Linear Dimension Style,12015353|12015351
201,Elevation D,Elevation,Dimensions,Linear Dimension Style,520.00,0.0,0.0,Linear Dimension Style,12015346|12015346
202,Elevation A,Elevation,Dimensions,Linear Dimension Style,460.00,0.0,0.0,Linear Dimension Style,12015390|12015391
203,Elevation A,Elevation,Dimensions,Linear Dimension Style,1860.00,0.0,0.0,Linear Dimension Style,12015390|12015390
204,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,20.00,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|11891873
205,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11756530|9267567
206,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11910307|11823179
207,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11910307|11823177
208,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11910307|11856265
209,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11910307|11823115
210,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11847240|11883911
211,Elevation A,Elevation,Dimensions,Linear Dimension Style,1100.00,0.0,0.0,Linear Dimension Style,11986836|11986837
212,Elevation A,Elevation,Dimensions,Linear Dimension Style,1000.00,0.0,0.0,Linear Dimension Style,11986836|11986836
213,Elevation A,Elevation,Dimensions,Linear Dimension Style,323.29,0.0,0.0,Linear Dimension Style,12041370|12041371
